"Folder","Result","OD_mm","ID_R_mm","Thick_mm","Vol_mm3"
"round190_KE-SL-024-old","PASS","55","24.4116","33","16621.025"
"round191_v3_rescue_batch","DOC","","","",""
"round192_v3_rescue_batch_A150_ESA200","DOC","","","",""
"round193_v3_rescue_batch_AA_KMB","DOC","","","",""
"round194_v3_boundary_batch_MU_SD90","DOC","","","",""
"round195_scaled_chamfer","DOC","","","",""
"round196_v3_rescue_batch_HC60_ESA300","DOC","","","",""
"round197_v3_rescue_batch_ESA300_HC60","DOC","","","",""
"round198_v3_rescue_batch_HC60_ESA200_KMB","DOC","","","",""
"round199_v3_threshold_8pct","DOC","","","",""
"round2_EV-L200-MP_M-Right","PASS","","27.5456","","43734.219"
"round20_SDE300_baffle","PASS","","3.5173","","469.7"
"round200_v3_rescue_batch_early_KESL","DOC","","","",""
"round201_v3_EV_S200P_check","DOC","","","",""
"round202_v3_check_KESP_EVM","DOC","","","",""
"round203_v3_oilseal_check","DOC","","","",""
"round204_v3_zero_id_and_thin_chamfer","DOC","","","",""
"round205_v3_check_KESP_flinger","DOC","","","",""
"round206_v3_check_ESR_EV_AA","DOC","","","",""
"round207_v3_check_KESP_IGX_EV","DOC","","","",""
"round208_v3_check_oilseal_MSB_KMB","DOC","","","",""
"round209_v3_check_KESL045_HC60_series","DOC","","","",""
"round21_motor_copper_gasket","PASS","","13.7254","","2235.599"
"round210_v3_check_downloaded_sleeves_114_118","DOC","","","",""
"round211_KE-SL-016","PASS","38","","16.3",""
"round212_KE-SL-055","PASS","59","","28",""
"round213_KE-SL-060","PASS","49","","15.5",""
"round214_KE-SL-061","PASS","62","","15.5",""
"round215_KE-SL-041","PASS","72.9","","22",""
"round216_KE-SL-042","PASS","47.5","","47.5",""
"round217_KE-SL-046","PASS","84","","47.5",""
"round218_SL-057-KMB1201","PASS","78.1","","15",""
"round219_SL-057-KMB1202","PASS","78.1","","15",""
"round22_IGX_spacer","PASS","","19.5026","","18635.076"
"round220_KE-SL-056v3","PASS","81.45","","43.9",""
"round221_KE-SL-010-v2024","PASS","60","","15",""
"round222_EV-X200N-MP-M-v2026","PASS","70","27.0896","21.5","33174.532"
"round223_EV-L200-BP-spacer-v2026","PASS","44.7","","4",""
"round224_EV-L200-MP-flinger-v0001","PASS","49","","15.5",""
"round225_EV-X100-MP-M","PASS","70","","21.5",""
"round226_EV-A10-3-M","PASS","70","26.8078","20","31814.564"
"round227_EV-M502-MP-finger-v2025","PASS","81","","20.5",""
"round228_MAG-A14-EV-M-BP","PASS","104.9","","119.7",""
"round229_EV-S200P-BP-v2025","PASS","62","","15.5",""
"round23_KE-BH-026_AA_BP-M","PASS","","49.2297","","106721.941"
"round230_EV-S200P-BP-v0003","PASS","62","","15.5",""
"round231_EV-L200-MP-flinger-main","PASS","49","","15.5",""
